species,category
purple_coneflower,native
black_eyed_susan,native
little_bluestem,native
indian_blanket,native
texas_bluebonnet,native
maximilian_sunflower,native
prairie_verbena,native
switchgrass,native
sideoats_grama,native
eastern_gamagrass,native
johnson_grass,introduced
king_ranch_bluestem,introduced
bermuda_grass,introduced
japanese_honeysuckle,introduced
chinese_tallow,introduced
privet,introduced
thistle,introduced
bahia_grass,introduced

campsis radicans,
glandularia bipinnatifida,
teucrium canadense,
phyla nodiflora,
ruellia simplex,
malvaviscus arboreus,
helenium amarum,
euphorbia bicolor,
rudbeckia amplexicaulis,
asclepias viridis,
neltuma glandulosa,
neptunia lutea,
cirsium engelmannii,
grindelia adenodonta,
lindheimera texana,
oenothera suffulta,
gaillardia pulchella,
monarda citriodora,
hymenopappus scabiosaeus,
chasmanthium latifolium,
quercus macrocarpa,
sideroxylon lanuginosum,
gleditsia triacanthos,
sapindus drummondii,
oenothera speciosa,
typha domingensis,
tetraneuris linearifolia,
ambrosia trifida,
bouteloua curtipendula,
calyptocarpus vialis,
lactuca serriola,
zanthoxylum clava-herculis,
solanum elaeagnifolium,
bouteloua dactyloides,
ligustrum quihoui,
phyllanthus polygonoides,
bouteloua rigidiseta,
ratibida columnifera,
melia azedarach,
lonicera maackii,
clematis pitcheri,
geum canadense,
marshallia caespitosa,
eryngium yuccifolium,
chamaecrista fasciculata,
hibiscus laevis,
acer negundo,
lonicera sempervirens,
zephyranthes tubispatha,
ulmus crassifolia,
pistacia chinensis,
convolvulus equitans,
commelina erecta,
plectocephalus americanus,
salvia azurea,
convolvulus arvensis,
verbesina encelioides,
rudbeckia hirta,
parthenium hysterophorus,
solanum rostratum,
lamium amplexicaule,
rumex crispus,
vernonia baldwinii,
phytolacca americana,
tridens albescens,
oenothera triloba,
rapistrum rugosum,
oenothera curtiflora,
pediomelum rhombifolium,
silphium albiflorum,
pediomelum linearifolium,
erioneuron pilosum,
toxicodendron radicans,
helianthus annuus,
grindelia ciliata,
melilotus albus,
croton monanthogynus,
senna roemeriana,
passiflora lutea,
penstemon cobaea,
ipomopsis rubra,
cissus trifoliata,
nephroia carolina,
avena fatua,
engelmannia peristenia,
linum pratense,
quercus muehlenbergii,
hymenopappus tenuifolius,
maclura pomifera,
bothriochloa torreyana,
dalea compacta,
asparagus officinalis,
palafoxia callosa,
yucca arkansana,
thelesperma filifolium,
hedeoma reverchonii,
rubus trivialis,
carya illinoinensis,
cercis canadensis,
fraxinus pennsylvanica,
elymus virginicus,
viola missouriensis,
trifolium repens,
baccharis neglecta,
styphnolobium affine,
iva annua,
bothriochloa ischaemum,
torilis arvensis,
bromus japonicus,
cnidoscolus texanus,
panicum capillare,
tridens strictus,
erigeron canadensis,
baptisia sphaerocarpa,
lespedeza virginica,
punica granatum,
sixalix atropurpurea,
eryngium hookeri,
oxalis dillenii,
justicia americana,
quercus shumardii,
helianthus maximiliani,
daucus carota,
ruellia nudiflora,
ligustrum lucidum,
frangula caroliniana,
melilotus officinalis,
desmanthus illinoensis,
desmanthus leptolobus,
vitis mustangensis,
eustoma russellianum,
cephalanthus occidentalis,
asclepias asperula,
oenothera capillifolia,
dalea aurea,
linum rigidum,
ilex decidua,
verbesina virginica,
dyschoriste linearis,
asclepias viridiflora,
opuntia macrorhiza,
bromus catharticus,
sherardia arvensis,
sabulina michauxii,
dalea hallii,
pediomelum reverchonii,
dalea reverchonii,
dalea tenuis,
grindelia lanceolata,
scutellaria drummondii,
lythrum alatum,
silphium laciniatum,
erigeron strigosus,
stenaria nigricans,
sorghum halepense,
passiflora incarnata,
plantago lanceolata,
gaillardia aestivalis,
sabatia campestris,
medicago lupulina,
veronica persica,
krameria lanceolata,
anisacanthus quadrifidus,
paspalum pubiflorum,
bothriochloa barbinodis,
panicum virgatum,
rivina humilis,
coreopsis tinctoria,
tripsacum dactyloides,
rosa setigera,
solanum carolinense,
aristida purpurea,
eragrostis secundiflora,
lithospermum bejariense,
centrosema virginianum,
bouteloua hirsuta,
triadica sebifera,
lactuca ludoviciana,
nandina domestica,
mollugo verticillata,
cirsium texanum,
euploca tenella,
populus deltoides,
asclepias tuberosa,
carduus nutans,
leucospora multifida,
phalaris caroliniana,
dichondra carolinensis,
sabal minor,
tradescantia pallida,
nelumbo lutea,
celtis laevigata,
portulaca oleracea,
modiola caroliniana,
paspalum langei,
pyrus calleryana,
monarda punctata,
croton glandulosus,
diospyros virginiana,
mimosa strigillosa,
indigofera miniata,
zephyranthes chlorosolen,
acaciella angustissima,
callicarpa americana,
panicum coloratum,
eragrostis superba,
dalea enneandra,
symphoricarpos orbiculatus,
ambrosia psilostachya,
centaurea solstitialis,
albizia julibrissin,
polypogon monspeliensis,
pontederia cordata,
eragrostis cilianensis,
chloris verticillata,
aristida oligantha,
paspalum setaceum,
eragrostis curvula,
allium ampeloprasum,
solanum dimidiatum,
callirhoe leiocarpa,
juglans nigra,
monarda fistulosa,
echinacea angustifolia,
ruellia humilis,
nekemias arborea,
smilax bona-nox,
heterotheca canescens,
argemone albiflora,
silene stellata,
rudbeckia maxima,
neptunia pubescens,
lysimachia arvensis,
urochloa ciliatissima,
morus alba,
diodia virginiana,
prunus mexicana,
quercus marilandica,
cornus drummondii,
acalypha persimilis,
salix nigra,
dalea frutescens,
plantago aristata,
vitex agnus-castus,
lolium arundinaceum,
perilla frutescens,
erythrostemon gilliesii,
erodium cicutarium,
helianthus hirsutus,
ziziphus jujuba,
polytaenia texana,
arnoglossum plantagineum,
stillingia texana,
sisyrinchium micranthum,
verbena rigida,
callirhoe involucrata,
sambucus canadensis,
aristolochia fimbriata,
phyla lanceolata,
forestiera pubescens,
persicaria amphibia,
ligustrum sinense,
ilex vomitoria,
phoradendron leucarpum,
acalypha virginica,
physalis cinerascens,
ipomoea cordatotriloba,
argythamnia humilis,
bothriochloa bladhii,
sida abutilifolia,
solanum emulans,
urochloa reptans,
verbena halei,
coelorachis cylindrica,
paspalum dilatatum,
lonicera japonica,
symphyotrichum drummondii,
nymphaea odorata,
ranunculus sardous,
prunus persica,
tragopogon dubius,
gaillardia amblyodon,
abutilon fruticosum,
asclepias stenophylla,
setaria parviflora,
cucumis melo,
helenium elegans,
bothriochloa longipaniculata,
chloris virgata,
rhus aromatica,
amorpha fruticosa,
nassella leucotricha,
cenchrus spinifex,
bacopa monnieri,
veronica anagallis-aquatica,
samolus parviflorus,
paspalum urvillei,
fraxinus albicans,
fatoua villosa,
eleocharis montevidensis,
